"X","Name","Record","Year","Observed","Estimate","Var","Lower","Upper"
"Historic","Sample",27,1973,53,57.8148148148148,28.6669714982472,53.2655839673709,140.288558607086
"Historic","Sample",17,1974,45,46.8823529411765,7.49250288350634,45.0932682752401,82.9899015612232
"Historic","Sample",17,1982,39,41.8235294117647,15.6678200692042,39.1487127827312,92.6088303418334
"Historic","Sample",19,1983,48,62.2105263157895,149.085872576177,48.9116281737037,269.514718387122
"Historic","Sample",24,1984,46,46.4791666666667,1.56976996527778,46.0166222059263,59.812889544386
"Historic","Sample",23,1985,50,59.5652173913043,102.202268431002,50.5404574102334,219.288795029012
"Historic","Sample",27,1986,59,63.4938271604938,18.8898372538062,59.263849975735,135.537746467987
"Historic","Sample",27,1987,56,59.3703703703704,12.5660722450846,56.1912686382966,115.389749070403
"Historic","Sample",24,1988,58,64.9,38.40525625,58.4229975029025,170.553855928953
"Historic","Sample",23,1989,58,64.8869565217391,38.2732128544423,58.4221776417962,170.346475598593
"Historic","Sample",25,1990,61,65.032,17.53565184,61.2238198166525,133.634426402207
"Historic","Sample",26,1991,59,62.3653846153846,12.5339003944773,59.187832152582,119.297523367435
"Historic","Sample",20,1992,56,58.85,15.93625,56.1344797240149,116.399439837493
"Historic","Sample",24,1993,54,54.4107142857143,0.782799376128002,54.0152422689442,65.0670022361915
"Historic","Sample",2,1994,31,31.2884615384615,0.358661614614334,31.0129597499235,37.4206531501476
"Historic","Sample",12,1995,48,54.4166666666667,37.76953125,48.399889323972,150.962516483662
"Historic","Sample",17,1998,53,59.0504201680672,26.8482134750659,53.3962144394568,145.393362191288
"Modern","Sample",27,2018,57,83.4814814814815,482.943758573388,58.5721454990897,503.058498949423
